year,month,temperature
2011,1,35
2011,2,46
2011,3,61
2011,4,130
2011,5,140
2011,6,161
2011,7,159
2011,8,167
2011,9,158
2011,10,118
2011,11,76
2011,12,66
2012,1,49
2012,2,10
2012,3,80
2012,4,82
2012,5,141
2012,6,148
2012,7,172
2012,8,184
2012,9,144
2012,10,107
2012,11,68
2012,12,51
2013,1,21
2013,2,18
2013,3,25
2013,4,79
2013,5,113
2013,6,149
2013,7,191
2013,8,184
2013,9,148
2013,10,122
2013,11,71
2013,12,60
2014,1,55
2014,2,62
2014,3,84
2014,4,118
2014,5,135
2014,6,159
2014,7,196
2014,8,163
2014,9,165
2014,10,134
2014,11,82
2014,12,53
2015,1,41
2015,2,36
2015,3,61
2015,4,87
2015,5,121
2015,6,154
2015,7,182
2015,8,185
2015,9,137
2015,10,105
2015,11,101
2015,12,95
